Status,Code,Name,CID,Exchange,L_value,Days,Note,Current_value,H_value,Level
1,HSI,恒生指數: HANG SENG INDEX,13414271,SHA,18319.58,1461,,22129.14,28442.75,37.6%
1,SHA:000001,上证综合指数: SSE Composite Index,7521596,SHA,1950.01,1461,,2953.39,5166.35,31.2%
1,SHA:000012,国债指数: SSE Government Bond Index,2597133,SHA,134.17,1461,,158.51,158.51,100.0%
1,SHA:000013,企债指数: SSE Corporate Bond Index,12480918,SHA,156.1,1461,,205.26,205.26,100.0%
1,SHA:000016,上证50: SSE 50 Index,3147530,SHA,1406.92,1461,,2147.56,3458.71,36.1%
1,SHA:000010,上证180: SSE 180 Index,3066127,SHA,4545.14,1461,,6873.24,11741.07,32.4%
1,SHA:000300,沪深300: CSI 300 Index,1979150,SHA,2086.97,1461,,3176.81,5353.75,33.4%
1,SHA:000009,上证380: SSE 380 Index,621688083906888,SHA,2498.36,1461,,5349.88,10251.38,36.8%
1,SHE:399006,创业板指数: CHINEXT PRICE INDEX,10893934,SHE,593.66,1461,,2099.18,3982.25,44.4%
1,SHE:399001,深证成指: SZSE COMPONENT INDEX,9692709,SHE,6998.19,1461,,10185.48,18098.27,28.7%
1,SHA:000038,上证金融: SSE Financials Sector Index,16386144,CN/Topic,2470.93,1461,,4126.25,6147.17,45.0%
1,SHA:000015,红利指数: SSE Dividend Index,1270931,CN/Topic,1574.93,1461,,2429.44,4144.66,33.3%
1,SHE:399809,保险主题: INSURANCE THEME,254153527718885,CN/Topic,1256.02,371,,1517.28,1801.69,47.9%
1,SHA:000036,上证消费: SSE Consumer Staples Sector Index,12180555,CN/Topic,3524.55,1461,,6072.74,8768.35,48.6%
1,SHA:000037,上证医药:SSE Health Care Sector Index,3216899,CN/Topic,2966.75,1461,,5795.75,8687.53,49.5%
1,NYSEARCA:EWT,台湾指数ET iShares MSCI,702300,AP,11.34,1455,,15.26,17.03,68.9%
1,NYSEARCA:EWA,澳大利亚指数ETF iShares MSCI,700242,AP,16.25,1455,,20.78,28.1,38.2%
1,NYSEARCA:EWS,新加坡指数ETF iShares MSCI,702296,AP,9.0,1455,,10.97,14.69,34.6%
1,NYSEARCA:RSX,俄罗斯ETF Market Vectors,715851,AP,12.19,1456,,17.75,31.03,29.5%
1,NYSEARCA:EWM,马来西亚斯iShares MSCI Malaysia,702294,AP,7.18,1455,,8.23,16.8,10.9%
1,NYSEARCA:VNM,越南 Market Vectors Vietnam,9836710,AP,12.66,1455,,14.91,23.66,20.5%
1,NYSEARCA:THD,泰国 iShares MSCI Thailand,5118830,AP,55.01,1455,,73.1,96.07,44.1%
1,NYSEARCA:EIDO,印尼 iShares MSCI Indons,15806599,AP,16.59,1455,,26.42,36.16,50.2%
1,INDEXDJX:.DJI,道琼斯指数: Dow Jones Industrial Average,983582,AMERICAS,12542.38,1454,,18413.21,18595.03,97.0%
1,NYSEARCA:EWZ,巴西指数ETF iShares MSCI,700262,AMERICAS,17.33,1455,,32.79,57.65,38.3%
1,NYSEARCA:IWV,iShares Russell 3000 Index (ETF),700342,AMERICAS,80.07,1455,FR免佣,128.26,128.21,100.1%
1,NYSEARCA:DBC,大宗商品 (ETF),722064,AMERICAS,11.88,1455,FR免佣,14.08,29.73,12.3%
1,NYSEARCA:VWO,新兴市场,704805,AMERICAS,28.55,1455,FR免佣,37.04,46.49,47.3%
1,NYSEARCA:FXI,中国港股,702691,AMERICAS,28.44,1455,FR免佣,35.53,52.71,29.2%
1,NYSEARCA:BLV,美国长期国债股,730770,AMERICAS,80.36,1456,FR免佣,99.41,101.24,91.2%
1,NYSEARCA:VIG,美国高红利ETF,710034,AMERICAS,57.13,1455,FR免佣,85.14,85.72,98.0%
1,NYSEARCA:IVV,美国标普500,700314,AMERICAS,136.28,1455,FR免佣,218.32,218.47,99.8%
1,NYSEARCA:IYW,美国科技ETF,700230,AMERICAS,67.06,1455,FR免佣,114.55,114.13,100.9%
1,NYSEARCA:VBK,美国小盘成长,704696,AMERICAS,82.14,1455,FR免佣,131.12,138.42,87.0%
1,NYSEARCA:USO,美国石油基金: United States Oil Fund LP (ETF),705740,US/Topic,7.96,1455,,9.47,39.36,4.8%
1,NYSEARCA:XOP,SPDR S&P Oil & Gas Explore & Prod. (ETF),709310,US/Topic,23.6,1455,类华宝油气,33.05,83.45,15.8%
1,NYSEARCA:IAU,黄金ETF iShares,704797,US/Topic,10.15,1455,,13.04,17.44,39.6%
1,NYSEARCA:FEZ,美丽的欧洲各国: EURO STOXX 50 Index,702644,EU,29.18,1455,这个广泛代表欧洲,32.22,45.11,19.1%
1,NYSEARCA:EFA,EAFE 指数ETF iShares MSCI,700264,EU,51.15,1455,,57.78,70.67,34.0%
1,BMV:EZU,EUROZONE 指数ETF iShares MSCI,176779958221483,EU,350.0,1461,,634.87,656.39,93.0%
1,NYSEARCA:IEV,EURO 指数ETF iShares MSCI,702288,EU,35.04,1455,,38.62,50.54,23.1%
1,NYSEARCA:GREK,美丽的希腊: Global X FTSE Greece 20 ETF,241235835471811,EU,5.67,1455,,7.38,25.68,8.5%
1,NYSEARCA:VGK,欧洲ETF Vanguard MSCI,704806,EU,43.32,1455,,47.91,61.72,24.9%
1,BATS:EZU,欧盟国家ETF iShares MSCI,700267,EU,28.28,1455,,33.61,44.19,33.5%
1,NYSEARCA:EWG,德国ETF iShares MSCI,700268,EU,20.74,1455,,25.61,32.35,41.9%
1,NYSEARCA:EWU,英国ETF iShares MSCI,690329733247657,EU,13.99,673,,15.48,19.9,25.2%
